Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,0,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
2,Providence University,4.0,Bachelors,Providence,F,N/A,0,0,2,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
3,Providence University,4.0,Bachelors,Providence,M,N/A,0,1,4,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
4,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,4,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
5,Providence University,4.0,Bachelors,Providence,M,N/A,0,1,3,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
6,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,4,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
7,Providence University,4.0,Bachelors,Providence,F,N/A,0,0,2,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
8,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,2,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
9,Providence University,4.0,Bachelors,Providence,M,N/A,1,0,1,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
10,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,2,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
11,Providence University,4.0,Bachelors,Providence,M,N/A,1,0,4,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
12,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,0,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
13,Providence University,4.0,Bachelors,Providence,M,N/A,1,0,1,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
14,Providence University,4.0,Bachelors,Providence,M,N/A,1,0,4,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
15,Providence University,4.0,Bachelors,Providence,M,N/A,0,0,3,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
16,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,1,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
17,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,4,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
18,Providence University,4.0,Bachelors,Providence,M,N/A,1,0,0,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
19,Providence University,4.0,Bachelors,Providence,F,N/A,1,0,3,Junior SWE,01/18,01/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
