applicant_id,prediction
"1","1"
"2","0"
"3","0"
"4","1"
"5","0"
"6","0"
"7","1"
"8","0"
"9","0"
"10","0"
"11","1"
"12","0"
"13","0"
"14","0"
"15","1"
"16","1"
"17","1"
"18","1"
"19","0"
"20","1"
"21","1"
"22","0"
"23","1"
"24","1"
"25","1"
"26","1"
"27","0"
"28","0"
"29","0"
"30","1"
"31","0"
"32","0"
"33","1"
"34","0"
"35","0"
"36","0"
"37","1"
"38","1"
"39","1"
"40","1"
"41","0"
"42","0"
"43","1"
"44","0"
"45","1"
"46","1"
"47","1"
"48","0"
"49","0"
"50","1"
"51","0"
"52","1"
"53","0"
"54","1"
"55","1"
"56","0"
"57","1"
"58","1"
"59","0"
"60","1"
"61","1"
"62","0"
"63","1"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","1"
"70","0"
"71","0"
"72","0"
"73","1"
"74","0"
"75","1"
"76","1"
"77","0"
"78","0"
"79","1"
"80","1"
"81","0"
"82","1"
"83","1"
"84","1"
"85","1"
"86","1"
"87","1"
"88","0"
"89","0"
"90","0"
"91","1"
"92","0"
"93","0"
"94","0"
"95","1"
"96","0"
"97","1"
"98","1"
"99","1"
"100","0"
"101","1"
"102","0"
"103","1"
"104","0"
"105","0"
"106","1"
"107","1"
"108","0"
"109","0"
"110","1"
"111","1"
"112","1"
"113","0"
"114","1"
"115","0"
"116","1"
"117","0"
"118","1"
"119","1"
"120","0"
"121","0"
"122","0"
"123","0"
"124","1"
"125","1"
"126","1"
"127","1"
"128","1"
"129","1"
"130","0"
"131","0"
"132","1"
"133","0"
"134","1"
"135","0"
"136","0"
"137","1"
"138","0"
"139","1"
"140","0"
"141","0"
"142","1"
"143","0"
"144","1"
"145","0"
"146","1"
"147","0"
"148","1"
"149","1"
"150","0"
"151","0"
"152","1"
"153","1"
"154","1"
"155","0"
"156","1"
"157","1"
"158","1"
"159","1"
"160","0"
"161","0"
"162","0"
"163","0"
"164","0"
"165","1"
"166","0"
"167","0"
"168","1"
"169","1"
"170","1"
"171","0"
"172","1"
"173","0"
"174","1"
"175","1"
"176","1"
"177","1"
"178","1"
"179","0"
"180","1"
"181","1"
"182","1"
"183","0"
"184","1"
"185","0"
"186","0"
"187","0"
"188","0"
"189","0"
"190","0"
"191","0"
"192","0"
"193","0"
"194","0"
"195","1"
"196","0"
"197","1"
"198","1"
"199","0"
"200","0"
"201","0"
"202","1"
"203","1"
"204","0"
"205","1"
"206","1"
"207","0"
"208","0"
"209","1"
"210","0"
"211","0"
"212","1"
"213","0"
"214","0"
"215","0"
"216","1"
"217","1"
"218","0"
"219","0"
"220","0"
"221","0"
"222","0"
"223","1"
"224","0"
"225","1"
"226","1"
"227","0"
"228","0"
"229","0"
"230","1"
"231","0"
"232","1"
"233","1"
"234","0"
"235","0"
"236","1"
"237","0"
"238","0"
"239","1"
"240","1"
"241","0"
"242","0"
"243","0"
"244","0"
"245","0"
"246","0"
"247","1"
"248","0"
"249","0"
"250","1"
"251","1"
"252","1"
"253","1"
"254","1"
"255","1"
"256","1"
"257","0"
"258","0"
"259","1"
"260","1"
"261","0"
"262","0"
"263","0"
"264","0"
"265","0"
"266","0"
"267","1"
"268","0"
"269","1"
"270","1"
"271","0"
"272","0"
"273","1"
"274","0"
"275","0"
"276","1"
"277","0"
"278","1"
"279","0"
"280","0"
"281","1"
"282","0"
"283","1"
"284","1"
"285","0"
"286","1"
"287","0"
"288","0"
"289","1"
"290","1"
"291","0"
"292","1"
"293","0"
"294","1"
"295","1"
"296","0"
"297","1"
"298","1"
"299","0"
"300","1"
"301","1"
"302","1"
"303","1"
"304","1"
"305","0"
"306","0"
"307","0"
"308","1"
"309","1"
"310","0"
"311","1"
"312","0"
"313","0"
"314","0"
"315","0"
"316","0"
"317","0"
"318","1"
"319","1"
"320","1"
"321","0"
"322","0"
"323","0"
"324","1"
"325","0"
"326","0"
"327","0"
"328","0"
"329","1"
"330","1"
"331","0"
"332","1"
"333","1"
"334","0"
"335","1"
"336","1"
"337","1"
"338","1"
"339","1"
"340","0"
"341","0"
"342","0"
"343","0"
"344","0"
"345","1"
"346","0"
"347","0"
"348","1"
"349","0"
"350","0"
"351","0"
"352","1"
"353","0"
"354","0"
"355","1"
"356","0"
"357","1"
"358","0"
"359","0"
"360","1"
"361","0"
"362","0"
"363","0"
"364","0"
"365","0"
"366","1"
"367","0"
"368","0"
"369","1"
"370","1"
"371","0"
"372","1"
"373","1"
"374","0"
"375","1"
"376","0"
"377","0"
"378","1"
"379","1"
"380","1"
"381","1"
"382","1"
"383","1"
"384","0"
"385","0"
"386","1"
"387","0"
"388","1"
"389","0"
"390","0"
"391","0"
"392","1"
"393","1"
"394","1"
"395","0"
"396","0"
"397","0"
"398","1"
"399","0"
"400","1"
"401","1"
"402","0"
"403","1"
"404","0"
"405","1"
"406","0"
"407","1"
"408","1"
"409","0"
"410","1"
"411","0"
"412","0"
"413","0"
"414","0"
"415","0"
"416","1"
"417","1"
"418","0"
"419","0"
"420","0"
"421","0"
"422","1"
"423","1"
"424","0"
"425","0"
"426","1"
"427","0"
"428","1"
"429","1"
"430","1"
"431","0"
"432","1"
"433","1"
"434","1"
"435","1"
"436","0"
"437","1"
"438","0"
"439","1"
"440","0"
"441","1"
"442","0"
"443","0"
"444","1"
"445","0"
"446","0"
"447","0"
"448","0"
"449","1"
"450","0"
"451","0"
"452","0"
"453","1"
"454","0"
"455","0"
"456","1"
"457","0"
"458","1"
"459","1"
"460","0"
"461","0"
"462","0"
"463","0"
"464","0"
"465","0"
"466","1"
"467","1"
"468","0"
"469","0"
"470","0"
"471","1"
"472","0"
"473","1"
"474","1"
"475","0"
"476","0"
"477","1"
"478","0"
"479","0"
"480","0"
"481","0"
"482","1"
"483","1"
"484","1"
"485","1"
"486","0"
"487","1"
"488","0"
"489","0"
"490","0"
"491","0"
"492","0"
"493","1"
"494","0"
"495","1"
"496","0"
"497","0"
"498","1"
"499","0"
"500","0"
"501","1"
"502","1"
"503","1"
"504","0"
"505","0"
"506","1"
"507","0"
"508","1"
"509","0"
"510","1"
"511","0"
"512","1"
"513","0"
"514","1"
"515","1"
"516","1"
"517","1"
"518","0"
"519","0"
"520","1"
"521","1"
"522","1"
"523","0"
"524","1"
"525","0"
"526","1"
"527","1"
"528","1"
"529","0"
"530","0"
"531","0"
"532","0"
"533","0"
"534","1"
"535","0"
"536","0"
"537","1"
"538","1"
"539","0"
"540","1"
"541","0"
"542","0"
"543","0"
"544","0"
"545","1"
"546","1"
"547","0"
"548","1"
"549","0"
"550","1"
"551","0"
"552","0"
"553","1"
"554","0"
"555","1"
"556","1"
"557","1"
"558","0"
"559","1"
"560","0"
"561","0"
"562","1"
