applicant_id,prediction
"1","1"
"2","0"
"3","0"
"4","0"
"5","0"
"6","1"
"7","1"
"8","1"
"9","1"
"10","0"
"11","0"
"12","1"
"13","1"
"14","0"
"15","0"
"16","1"
"17","0"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","0"
"24","0"
"25","1"
"26","0"
"27","0"
"28","1"
"29","1"
"30","1"
"31","0"
"32","0"
"33","0"
"34","1"
"35","1"
"36","1"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","1"
"46","0"
"47","1"
"48","0"
"49","0"
"50","0"
"51","0"
"52","1"
"53","0"
"54","1"
"55","1"
"56","0"
"57","1"
"58","1"
"59","1"
"60","0"
"61","1"
"62","1"
"63","1"
"64","1"
"65","1"
"66","0"
"67","1"
"68","0"
"69","1"
"70","1"
"71","1"
"72","0"
"73","1"
"74","1"
"75","0"
"76","0"
"77","0"
"78","1"
"79","1"
"80","0"
"81","1"
"82","1"
"83","0"
"84","1"
"85","0"
"86","1"
"87","0"
"88","1"
"89","1"
"90","1"
"91","0"
"92","0"
"93","0"
"94","1"
"95","1"
"96","0"
"97","0"
"98","0"
"99","0"
"100","1"
"101","0"
"102","0"
"103","1"
"104","0"
"105","0"
"106","0"
"107","1"
"108","1"
"109","0"
"110","0"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"116","0"
"117","0"
"118","0"
"119","0"
"120","1"
"121","0"
"122","0"
"123","0"
"124","1"
"125","1"
"126","1"
"127","1"
"128","1"
"129","0"
"130","0"
"131","0"
"132","1"
"133","1"
"134","0"
"135","0"
"136","1"
"137","1"
"138","1"
"139","0"
"140","0"
"141","1"
"142","1"
"143","0"
"144","0"
"145","1"
"146","0"
"147","1"
"148","1"
"149","0"
"150","0"
"151","0"
"152","1"
"153","1"
"154","1"
"155","0"
"156","1"
"157","1"
"158","0"
"159","1"
"160","1"
"161","1"
"162","0"
"163","0"
"164","1"
"165","0"
"166","0"
"167","0"
"168","0"
"169","1"
"170","0"
"171","1"
"172","1"
"173","1"
"174","1"
"175","1"
"176","0"
"177","0"
"178","0"
"179","1"
"180","0"
"181","1"
"182","0"
"183","0"
"184","0"
"185","0"
"186","0"
"187","1"
"188","0"
"189","0"
"190","0"
"191","0"
"192","1"
"193","0"
"194","1"
"195","1"
"196","0"
"197","0"
"198","0"
"199","0"
"200","1"
"201","0"
"202","0"
"203","1"
"204","1"
"205","1"
"206","0"
"207","0"
"208","0"
"209","1"
"210","1"
"211","1"
"212","1"
"213","0"
"214","0"
"215","0"
"216","1"
"217","1"
"218","0"
"219","0"
"220","0"
"221","0"
"222","1"
"223","0"
"224","0"
"225","0"
"226","0"
"227","0"
"228","0"
"229","0"
"230","1"
"231","1"
"232","1"
"233","1"
"234","1"
"235","0"
"236","1"
"237","0"
"238","0"
"239","0"
"240","0"
"241","1"
"242","0"
"243","1"
"244","1"
"245","0"
"246","1"
"247","1"
"248","0"
"249","1"
"250","1"
"251","1"
"252","1"
"253","0"
"254","0"
"255","1"
"256","1"
"257","1"
"258","1"
"259","1"
"260","1"
"261","1"
"262","0"
"263","1"
"264","1"
"265","0"
"266","1"
"267","1"
"268","1"
"269","0"
"270","0"
"271","0"
"272","0"
"273","0"
"274","0"
"275","0"
"276","1"
"277","0"
"278","0"
"279","0"
"280","0"
"281","0"
"282","0"
"283","0"
"284","0"
"285","0"
"286","0"
"287","1"
"288","1"
"289","0"
"290","1"
"291","1"
"292","0"
"293","0"
"294","1"
"295","0"
"296","1"
"297","0"
"298","1"
"299","0"
"300","1"
"301","0"
"302","0"
"303","1"
"304","1"
"305","0"
"306","1"
"307","1"
"308","0"
"309","0"
"310","1"
"311","1"
"312","1"
"313","1"
"314","0"
"315","1"
"316","0"
"317","0"
"318","0"
"319","1"
"320","0"
"321","1"
"322","1"
"323","0"
"324","0"
"325","0"
"326","0"
"327","0"
"328","0"
"329","1"
"330","0"
"331","1"
"332","1"
"333","0"
"334","1"
"335","0"
"336","1"
"337","0"
"338","0"
"339","0"
"340","1"
"341","0"
"342","1"
"343","0"
"344","0"
"345","0"
"346","0"
"347","0"
"348","1"
"349","0"
"350","1"
"351","0"
"352","0"
"353","0"
"354","0"
"355","0"
"356","1"
"357","1"
"358","0"
"359","0"
"360","1"
"361","1"
"362","0"
"363","1"
"364","1"
"365","1"
"366","0"
"367","1"
"368","1"
"369","0"
"370","0"
"371","0"
"372","0"
"373","0"
"374","1"
"375","0"
"376","0"
"377","0"
"378","1"
"379","1"
"380","0"
"381","1"
"382","0"
"383","1"
"384","1"
"385","0"
"386","1"
"387","0"
"388","0"
"389","1"
"390","0"
"391","0"
"392","0"
"393","1"
"394","1"
"395","0"
"396","0"
"397","0"
"398","0"
"399","1"
"400","0"
"401","0"
"402","1"
"403","0"
"404","1"
"405","0"
"406","1"
"407","0"
"408","1"
"409","0"
"410","0"
"411","0"
"412","0"
"413","0"
"414","0"
"415","0"
"416","1"
"417","1"
"418","1"
"419","0"
"420","1"
"421","1"
"422","0"
"423","1"
"424","0"
"425","1"
"426","1"
"427","0"
"428","0"
"429","1"
"430","0"
"431","1"
"432","0"
"433","1"
"434","1"
"435","0"
"436","1"
"437","0"
"438","1"
"439","1"
"440","1"
"441","1"
"442","0"
"443","0"
"444","1"
"445","1"
"446","0"
"447","0"
"448","0"
"449","0"
"450","1"
"451","1"
"452","1"
"453","1"
"454","0"
"455","0"
"456","0"
"457","1"
"458","0"
"459","1"
"460","0"
"461","0"
"462","1"
"463","1"
"464","0"
"465","0"
"466","1"
"467","0"
"468","0"
"469","0"
"470","0"
"471","1"
"472","1"
"473","1"
"474","0"
"475","0"
"476","1"
"477","0"
"478","1"
"479","0"
"480","0"
"481","0"
"482","1"
"483","1"
"484","0"
"485","0"
"486","1"
"487","0"
"488","1"
"489","1"
"490","1"
"491","0"
"492","0"
"493","1"
"494","0"
"495","0"
"496","0"
"497","0"
"498","0"
"499","1"
"500","0"
"501","1"
"502","0"
"503","0"
"504","1"
"505","0"
"506","1"
"507","1"
"508","0"
"509","0"
"510","1"
"511","1"
"512","0"
"513","0"
"514","0"
"515","0"
"516","0"
"517","1"
"518","0"
"519","0"
"520","1"
"521","1"
"522","0"
"523","1"
"524","0"
"525","1"
"526","0"
"527","1"
"528","0"
"529","1"
"530","0"
"531","1"
"532","0"
"533","1"
"534","1"
"535","1"
"536","0"
"537","0"
"538","0"
"539","1"
"540","0"
"541","0"
"542","0"
"543","0"
"544","1"
"545","1"
"546","0"
"547","0"
"548","1"
"549","1"
"550","0"
"551","1"
"552","0"
"553","0"
"554","0"
"555","0"
"556","0"
"557","0"
"558","0"
"559","0"
"560","1"
"561","0"
"562","1"
