applicant_id,prediction
"1","1"
"2","0"
"3","1"
"4","1"
"5","0"
"6","0"
"7","0"
"8","1"
"9","0"
"10","1"
"11","0"
"12","0"
"13","0"
"14","1"
"15","0"
"16","0"
"17","1"
"18","1"
"19","0"
"20","0"
"21","0"
"22","1"
"23","0"
"24","1"
"25","1"
"26","0"
"27","0"
"28","0"
"29","1"
"30","1"
"31","1"
"32","0"
"33","0"
"34","1"
"35","0"
"36","1"
"37","0"
"38","0"
"39","0"
"40","0"
"41","1"
"42","1"
"43","0"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","0"
"50","1"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","0"
"57","0"
"58","1"
"59","0"
"60","1"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","1"
"67","0"
"68","1"
"69","1"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","0"
"77","0"
"78","1"
"79","0"
"80","0"
"81","1"
"82","1"
"83","0"
"84","1"
"85","0"
"86","0"
"87","0"
"88","1"
"89","0"
"90","0"
"91","1"
"92","1"
"93","1"
"94","0"
"95","0"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","0"
"103","1"
"104","1"
"105","0"
"106","0"
"107","0"
"108","0"
"109","1"
"110","1"
"111","1"
"112","0"
"113","1"
"114","0"
"115","1"
"116","0"
"117","1"
"118","0"
"119","1"
"120","1"
"121","1"
"122","0"
"123","1"
"124","0"
"125","1"
"126","0"
"127","0"
"128","0"
"129","1"
"130","0"
"131","0"
"132","1"
"133","0"
"134","1"
"135","0"
"136","0"
"137","0"
"138","1"
"139","1"
"140","1"
"141","1"
"142","1"
"143","1"
"144","0"
"145","1"
"146","0"
"147","1"
"148","0"
"149","0"
"150","0"
"151","0"
"152","1"
"153","0"
"154","1"
"155","0"
"156","0"
"157","1"
"158","1"
"159","0"
"160","1"
"161","1"
"162","1"
"163","0"
"164","1"
"165","0"
"166","1"
"167","0"
"168","1"
"169","0"
"170","0"
"171","0"
"172","1"
"173","0"
"174","1"
"175","1"
"176","0"
"177","0"
"178","0"
"179","0"
"180","0"
"181","1"
"182","1"
"183","1"
"184","1"
"185","1"
"186","0"
"187","0"
"188","1"
"189","1"
"190","1"
"191","0"
"192","1"
"193","0"
"194","0"
"195","1"
"196","0"
"197","0"
"198","0"
"199","0"
"200","1"
"201","0"
"202","1"
"203","0"
"204","1"
"205","0"
"206","0"
"207","1"
"208","0"
"209","0"
"210","1"
"211","1"
"212","1"
"213","1"
"214","0"
"215","1"
"216","0"
"217","0"
"218","1"
"219","1"
"220","1"
"221","1"
"222","1"
"223","1"
"224","0"
"225","0"
"226","0"
"227","0"
"228","1"
"229","1"
"230","1"
"231","1"
"232","1"
"233","0"
"234","1"
"235","0"
"236","0"
"237","1"
"238","1"
"239","1"
"240","0"
"241","0"
"242","1"
"243","0"
"244","1"
"245","1"
"246","0"
"247","1"
"248","0"
"249","1"
"250","1"
"251","1"
"252","0"
"253","0"
"254","0"
"255","0"
"256","0"
"257","1"
"258","1"
"259","0"
"260","1"
"261","0"
"262","1"
"263","1"
"264","0"
"265","0"
"266","1"
"267","0"
"268","0"
"269","1"
"270","0"
"271","0"
"272","1"
"273","1"
"274","1"
"275","0"
"276","1"
"277","1"
"278","1"
"279","0"
"280","1"
"281","0"
"282","0"
"283","1"
"284","0"
"285","1"
"286","0"
"287","0"
"288","1"
"289","1"
"290","1"
"291","0"
"292","1"
"293","0"
"294","0"
"295","0"
"296","0"
"297","0"
"298","0"
"299","1"
"300","0"
"301","1"
"302","1"
"303","1"
"304","1"
"305","0"
"306","0"
"307","1"
"308","1"
"309","0"
"310","1"
"311","0"
"312","1"
"313","1"
"314","1"
"315","0"
"316","1"
"317","0"
"318","1"
"319","1"
"320","1"
"321","0"
"322","0"
"323","0"
"324","0"
"325","1"
"326","0"
"327","1"
"328","0"
"329","1"
"330","1"
"331","1"
"332","1"
"333","0"
"334","1"
"335","1"
"336","1"
"337","1"
"338","1"
"339","0"
"340","0"
"341","1"
"342","1"
"343","1"
"344","1"
"345","1"
"346","1"
"347","1"
"348","1"
"349","0"
"350","1"
"351","0"
"352","0"
"353","0"
"354","1"
"355","0"
"356","1"
"357","0"
"358","1"
"359","1"
"360","0"
"361","0"
"362","1"
"363","0"
"364","1"
"365","0"
"366","1"
"367","1"
"368","0"
"369","1"
"370","0"
"371","1"
"372","0"
"373","1"
"374","0"
"375","0"
"376","1"
"377","1"
"378","1"
"379","1"
"380","1"
"381","0"
"382","1"
"383","0"
"384","1"
"385","0"
"386","0"
"387","0"
"388","1"
"389","1"
"390","1"
"391","0"
"392","0"
"393","0"
"394","1"
"395","1"
"396","1"
"397","0"
"398","0"
"399","0"
"400","0"
"401","0"
"402","0"
"403","1"
"404","0"
"405","1"
"406","0"
"407","1"
"408","0"
"409","1"
"410","0"
"411","0"
"412","1"
"413","0"
"414","0"
"415","1"
"416","0"
"417","0"
"418","0"
"419","0"
"420","0"
"421","1"
"422","0"
"423","0"
"424","1"
"425","1"
"426","0"
"427","0"
"428","0"
"429","1"
"430","1"
"431","0"
"432","1"
"433","0"
"434","0"
"435","1"
"436","0"
"437","0"
"438","1"
"439","0"
"440","0"
"441","1"
"442","0"
"443","1"
"444","0"
"445","1"
"446","1"
"447","0"
"448","1"
"449","1"
"450","0"
"451","1"
"452","0"
"453","1"
"454","0"
"455","0"
"456","0"
"457","1"
"458","1"
"459","0"
"460","1"
"461","1"
"462","1"
"463","0"
"464","0"
"465","1"
"466","0"
"467","1"
"468","0"
"469","0"
"470","1"
"471","0"
"472","0"
"473","1"
"474","0"
"475","1"
"476","1"
"477","1"
"478","0"
"479","1"
"480","1"
"481","0"
"482","1"
"483","0"
"484","0"
"485","0"
"486","1"
"487","0"
"488","0"
"489","1"
"490","0"
"491","1"
"492","0"
"493","0"
"494","1"
"495","1"
"496","1"
"497","0"
"498","1"
"499","0"
"500","1"
"501","1"
"502","0"
"503","1"
"504","0"
"505","1"
"506","0"
"507","0"
"508","0"
"509","1"
"510","1"
"511","1"
"512","1"
"513","1"
"514","1"
"515","1"
"516","0"
"517","1"
"518","0"
"519","0"
"520","0"
"521","0"
"522","0"
"523","0"
"524","0"
"525","1"
"526","0"
"527","0"
"528","0"
"529","1"
"530","1"
"531","0"
"532","0"
"533","1"
"534","0"
"535","1"
"536","1"
"537","0"
"538","0"
"539","0"
"540","0"
"541","0"
"542","0"
"543","0"
"544","1"
"545","1"
"546","1"
"547","0"
"548","1"
"549","1"
"550","0"
"551","0"
"552","0"
"553","0"
"554","0"
"555","1"
"556","1"
"557","0"
"558","1"
"559","1"
"560","0"
"561","0"
"562","0"
