applicant_id,prediction
"1","1"
"2","1"
"3","1"
"4","0"
"5","1"
"6","0"
"7","0"
"8","1"
"9","0"
"10","1"
"11","0"
"12","1"
"13","1"
"14","1"
"15","1"
"16","0"
"17","0"
"18","0"
"19","0"
"20","1"
"21","0"
"22","1"
"23","1"
"24","0"
"25","1"
"26","1"
"27","0"
"28","1"
"29","0"
"30","1"
"31","1"
"32","1"
"33","1"
"34","1"
"35","0"
"36","0"
"37","0"
"38","1"
"39","0"
"40","1"
"41","1"
"42","1"
"43","0"
"44","0"
"45","0"
"46","1"
"47","1"
"48","0"
"49","0"
"50","1"
"51","0"
"52","1"
"53","0"
"54","0"
"55","0"
"56","0"
"57","1"
"58","0"
"59","1"
"60","0"
"61","1"
"62","1"
"63","0"
"64","1"
"65","1"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","1"
"74","1"
"75","0"
"76","1"
"77","1"
"78","1"
"79","1"
"80","1"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","1"
"87","1"
"88","0"
"89","1"
"90","0"
"91","1"
"92","1"
"93","1"
"94","0"
"95","0"
"96","1"
"97","0"
"98","1"
"99","1"
"100","0"
"101","0"
"102","0"
"103","0"
"104","1"
"105","1"
"106","0"
"107","0"
"108","1"
"109","0"
"110","1"
"111","0"
"112","0"
"113","1"
"114","0"
"115","1"
"116","0"
"117","1"
"118","1"
"119","1"
"120","1"
"121","1"
"122","1"
"123","0"
"124","0"
"125","0"
"126","1"
"127","1"
"128","0"
"129","0"
"130","1"
"131","1"
"132","1"
"133","1"
"134","1"
"135","0"
"136","0"
"137","0"
"138","1"
"139","0"
"140","0"
"141","1"
"142","0"
"143","1"
"144","1"
"145","1"
"146","0"
"147","0"
"148","1"
"149","0"
"150","0"
"151","0"
"152","0"
"153","0"
"154","0"
"155","0"
"156","1"
"157","1"
"158","1"
"159","0"
"160","0"
"161","0"
"162","1"
"163","0"
"164","0"
"165","0"
"166","0"
"167","0"
"168","0"
"169","0"
"170","1"
"171","0"
"172","0"
"173","0"
"174","0"
"175","0"
"176","1"
"177","0"
"178","0"
"179","0"
"180","0"
"181","1"
"182","1"
"183","1"
"184","0"
"185","1"
"186","0"
"187","1"
"188","0"
"189","1"
"190","1"
"191","1"
"192","0"
"193","0"
"194","1"
"195","0"
"196","1"
"197","0"
"198","0"
"199","0"
"200","0"
"201","1"
"202","1"
"203","0"
"204","1"
"205","0"
"206","1"
"207","0"
"208","0"
"209","0"
"210","0"
"211","0"
"212","0"
"213","0"
"214","1"
"215","0"
"216","1"
"217","1"
"218","0"
"219","0"
"220","1"
"221","0"
"222","1"
"223","1"
"224","1"
"225","1"
"226","1"
"227","0"
"228","0"
"229","1"
"230","0"
"231","0"
"232","0"
"233","1"
"234","0"
"235","0"
"236","1"
"237","0"
"238","0"
"239","0"
"240","1"
"241","0"
"242","1"
"243","1"
"244","1"
"245","0"
"246","1"
"247","1"
"248","0"
"249","0"
"250","1"
"251","0"
"252","0"
"253","0"
"254","0"
"255","0"
"256","1"
"257","0"
"258","0"
"259","0"
"260","1"
"261","1"
"262","1"
"263","0"
"264","0"
"265","1"
"266","0"
"267","0"
"268","1"
"269","1"
"270","1"
"271","1"
"272","1"
"273","0"
"274","1"
"275","0"
"276","1"
"277","0"
"278","0"
"279","1"
"280","1"
"281","1"
"282","0"
"283","1"
"284","0"
"285","0"
"286","0"
"287","1"
"288","0"
"289","1"
"290","1"
"291","1"
"292","0"
"293","1"
"294","1"
"295","0"
"296","1"
"297","0"
"298","1"
"299","1"
"300","0"
"301","0"
"302","1"
"303","1"
"304","1"
"305","0"
"306","0"
"307","1"
"308","1"
"309","1"
"310","1"
"311","0"
"312","1"
"313","0"
"314","1"
"315","0"
"316","1"
"317","0"
"318","0"
"319","0"
"320","1"
"321","0"
"322","1"
"323","0"
"324","1"
"325","1"
"326","1"
"327","0"
"328","1"
"329","1"
"330","0"
"331","1"
"332","1"
"333","0"
"334","1"
"335","0"
"336","0"
"337","1"
"338","0"
"339","0"
"340","1"
"341","1"
"342","1"
"343","0"
"344","1"
"345","1"
"346","1"
"347","1"
"348","0"
"349","1"
"350","1"
"351","0"
"352","0"
"353","1"
"354","1"
"355","1"
"356","0"
"357","0"
"358","0"
"359","1"
"360","0"
"361","0"
"362","1"
"363","0"
"364","0"
"365","1"
"366","1"
"367","1"
"368","1"
"369","1"
"370","1"
"371","0"
"372","1"
"373","0"
"374","0"
"375","0"
"376","1"
"377","0"
"378","1"
"379","1"
"380","0"
"381","1"
"382","0"
"383","0"
"384","1"
"385","0"
"386","1"
"387","1"
"388","1"
"389","1"
"390","0"
"391","1"
"392","1"
"393","1"
"394","0"
"395","0"
"396","0"
"397","1"
"398","0"
"399","1"
"400","0"
