applicant_id,prediction
"1","0"
"2","1"
"3","0"
"4","0"
"5","1"
"6","0"
"7","1"
"8","1"
"9","0"
"10","1"
"11","1"
"12","1"
"13","1"
"14","0"
"15","1"
"16","0"
"17","1"
"18","1"
"19","0"
"20","0"
"21","0"
"22","1"
"23","0"
"24","1"
"25","1"
"26","1"
"27","1"
"28","0"
"29","1"
"30","0"
"31","0"
"32","1"
"33","0"
"34","0"
"35","0"
"36","1"
"37","0"
"38","0"
"39","1"
"40","1"
"41","1"
"42","1"
"43","0"
"44","0"
"45","1"
"46","1"
"47","0"
"48","0"
"49","0"
"50","0"
"51","1"
"52","0"
"53","1"
"54","1"
"55","1"
"56","1"
"57","0"
"58","0"
"59","1"
"60","1"
"61","0"
"62","1"
"63","0"
"64","1"
"65","1"
"66","0"
"67","1"
"68","1"
"69","1"
"70","1"
"71","1"
"72","1"
"73","0"
"74","0"
"75","0"
"76","0"
"77","1"
"78","0"
"79","1"
"80","1"
"81","1"
"82","1"
"83","0"
"84","0"
"85","0"
"86","1"
"87","1"
"88","0"
"89","1"
"90","1"
"91","1"
"92","1"
"93","1"
"94","1"
"95","0"
"96","1"
"97","1"
"98","1"
"99","0"
"100","0"
"101","0"
"102","0"
"103","1"
"104","0"
"105","1"
"106","0"
"107","1"
"108","1"
"109","0"
"110","1"
"111","1"
"112","0"
"113","0"
"114","1"
"115","0"
"116","0"
"117","0"
"118","1"
"119","1"
"120","0"
"121","1"
"122","1"
"123","0"
"124","0"
"125","0"
"126","1"
"127","1"
"128","0"
"129","0"
"130","1"
"131","0"
"132","0"
"133","1"
"134","0"
"135","0"
"136","1"
"137","0"
"138","1"
"139","0"
"140","0"
"141","1"
"142","0"
"143","1"
"144","0"
"145","0"
"146","1"
"147","0"
"148","1"
"149","1"
"150","1"
"151","1"
"152","1"
"153","1"
"154","1"
"155","1"
"156","0"
"157","0"
"158","0"
"159","1"
"160","0"
"161","1"
"162","0"
"163","1"
"164","0"
"165","0"
"166","1"
"167","1"
"168","1"
"169","0"
"170","1"
"171","1"
"172","0"
"173","1"
"174","0"
"175","0"
"176","1"
"177","1"
"178","0"
"179","1"
"180","1"
"181","1"
"182","1"
"183","0"
"184","1"
"185","0"
"186","0"
"187","1"
"188","1"
"189","1"
"190","1"
"191","0"
"192","0"
"193","0"
"194","0"
"195","1"
"196","0"
"197","1"
"198","1"
"199","1"
"200","0"
"201","0"
"202","0"
"203","0"
"204","0"
"205","1"
"206","1"
"207","1"
"208","1"
"209","0"
"210","1"
"211","1"
"212","1"
"213","1"
"214","0"
"215","0"
"216","0"
"217","1"
"218","0"
"219","1"
"220","1"
"221","0"
"222","0"
"223","0"
"224","0"
"225","0"
"226","0"
"227","0"
"228","0"
"229","0"
"230","0"
"231","1"
"232","1"
"233","1"
"234","1"
"235","1"
"236","0"
"237","0"
"238","0"
"239","1"
"240","1"
"241","0"
"242","1"
"243","0"
"244","0"
"245","0"
"246","1"
"247","0"
"248","0"
"249","0"
"250","0"
"251","1"
"252","1"
"253","0"
"254","1"
"255","1"
"256","0"
"257","0"
"258","0"
"259","0"
"260","0"
"261","0"
"262","0"
"263","0"
"264","1"
"265","1"
"266","1"
"267","0"
"268","1"
"269","1"
"270","0"
"271","0"
"272","0"
"273","1"
"274","0"
"275","1"
"276","0"
"277","0"
"278","1"
"279","0"
