applicant_id,prediction
"1","0"
"2","0"
"3","1"
"4","1"
"5","0"
"6","0"
"7","0"
"8","0"
"9","1"
"10","1"
"11","0"
"12","0"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","0"
"20","0"
"21","0"
"22","0"
"23","1"
"24","1"
"25","1"
"26","1"
"27","0"
"28","1"
"29","1"
"30","0"
"31","1"
"32","0"
"33","1"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","1"
"40","0"
"41","1"
"42","0"
"43","0"
"44","1"
"45","1"
"46","1"
"47","0"
"48","1"
"49","1"
"50","0"
"51","1"
"52","1"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","1"
"59","1"
"60","1"
"61","0"
"62","1"
"63","1"
"64","0"
"65","0"
"66","0"
"67","1"
"68","0"
"69","0"
"70","1"
"71","0"
"72","1"
"73","1"
"74","1"
"75","0"
"76","0"
"77","0"
"78","0"
"79","1"
"80","1"
"81","0"
"82","0"
"83","0"
"84","0"
"85","1"
"86","0"
"87","0"
"88","1"
"89","0"
"90","1"
"91","0"
"92","0"
"93","1"
"94","1"
"95","1"
"96","1"
"97","0"
"98","1"
"99","1"
"100","1"
"101","0"
"102","1"
"103","0"
"104","1"
"105","1"
"106","0"
"107","0"
"108","0"
"109","1"
"110","1"
"111","1"
"112","0"
"113","1"
"114","1"
"115","0"
"116","0"
"117","1"
"118","0"
"119","1"
"120","0"
"121","1"
"122","0"
"123","0"
"124","0"
"125","1"
"126","1"
"127","0"
"128","0"
"129","0"
"130","1"
"131","1"
"132","0"
"133","0"
"134","1"
"135","1"
"136","1"
"137","0"
"138","1"
"139","0"
"140","0"
"141","0"
"142","0"
"143","0"
"144","0"
"145","1"
"146","1"
"147","1"
"148","0"
"149","1"
"150","1"
"151","0"
"152","0"
"153","1"
"154","1"
"155","0"
"156","1"
"157","0"
"158","1"
"159","1"
"160","1"
"161","1"
"162","1"
"163","0"
"164","1"
"165","1"
"166","1"
"167","0"
"168","0"
"169","0"
"170","0"
"171","1"
"172","0"
"173","1"
"174","1"
"175","0"
"176","0"
"177","0"
"178","1"
"179","0"
"180","0"
"181","0"
"182","0"
"183","0"
"184","0"
"185","0"
"186","1"
