applicant_id,prediction
"1","1"
"2","0"
"3","1"
"4","1"
"5","0"
"6","0"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","0"
"13","0"
"14","1"
"15","1"
"16","0"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","0"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","0"
"31","1"
"32","1"
"33","0"
"34","1"
"35","1"
"36","1"
"37","0"
"38","0"
"39","1"
"40","1"
"41","0"
"42","1"
"43","1"
"44","1"
"45","1"
"46","0"
"47","0"
"48","1"
"49","1"
"50","1"
"51","1"
"52","1"
"53","1"
"54","0"
"55","0"
"56","0"
"57","1"
"58","0"
"59","0"
"60","0"
"61","1"
"62","0"
"63","1"
"64","1"
"65","0"
"66","1"
"67","1"
"68","0"
"69","1"
"70","0"
"71","1"
"72","0"
"73","1"
"74","0"
"75","1"
"76","0"
"77","1"
"78","1"
"79","0"
"80","1"
"81","1"
"82","1"
"83","0"
"84","0"
"85","1"
"86","1"
"87","1"
"88","1"
"89","1"
"90","1"
"91","0"
"92","1"
"93","0"
"94","1"
"95","1"
"96","1"
"97","1"
"98","1"
"99","1"
"100","0"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","0"
"108","1"
"109","1"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","0"
"116","1"
"117","0"
"118","1"
"119","0"
"120","0"
"121","1"
"122","0"
"123","1"
"124","1"
"125","0"
"126","0"
"127","1"
"128","0"
"129","1"
"130","0"
"131","1"
"132","1"
"133","0"
"134","1"
"135","0"
"136","0"
"137","1"
"138","1"
"139","0"
"140","1"
"141","1"
"142","1"
"143","1"
"144","0"
"145","1"
"146","1"
"147","1"
"148","0"
"149","1"
"150","1"
"151","0"
"152","1"
"153","0"
"154","0"
"155","1"
"156","0"
"157","0"
"158","1"
"159","0"
"160","1"
"161","0"
"162","1"
"163","1"
"164","1"
"165","1"
"166","0"
"167","0"
"168","0"
"169","1"
"170","0"
"171","1"
"172","0"
"173","1"
"174","1"
"175","0"
"176","1"
"177","1"
"178","1"
"179","1"
"180","1"
"181","1"
"182","1"
"183","0"
"184","1"
"185","1"
"186","1"
"187","0"
"188","0"
"189","1"
"190","0"
"191","1"
"192","1"
"193","0"
"194","0"
"195","0"
"196","1"
"197","1"
"198","0"
"199","0"
"200","0"
"201","0"
"202","1"
"203","1"
"204","1"
"205","1"
"206","1"
"207","1"
"208","1"
"209","0"
"210","1"
"211","0"
"212","0"
"213","1"
"214","1"
"215","1"
"216","0"
"217","1"
"218","0"
"219","0"
"220","1"
"221","1"
"222","1"
"223","0"
"224","0"
"225","0"
"226","1"
"227","0"
"228","0"
"229","0"
"230","0"
"231","1"
"232","1"
"233","1"
"234","0"
"235","1"
"236","1"
"237","0"
"238","0"
"239","0"
"240","1"
"241","0"
"242","1"
"243","1"
"244","1"
"245","1"
"246","0"
"247","0"
"248","1"
"249","1"
"250","1"
"251","0"
"252","0"
"253","0"
"254","0"
"255","1"
"256","1"
"257","0"
"258","1"
"259","1"
"260","1"
"261","1"
"262","0"
"263","1"
"264","0"
"265","0"
"266","1"
"267","0"
"268","1"
"269","1"
"270","0"
"271","1"
"272","0"
"273","1"
"274","1"
"275","1"
"276","0"
"277","0"
"278","1"
"279","1"
"280","1"
"281","0"
"282","1"
"283","1"
"284","1"
"285","1"
"286","1"
"287","1"
"288","0"
"289","0"
"290","0"
"291","1"
"292","0"
"293","1"
"294","0"
"295","1"
"296","1"
"297","1"
"298","1"
"299","1"
"300","1"
"301","1"
"302","1"
"303","1"
"304","0"
"305","0"
"306","1"
"307","1"
"308","1"
"309","1"
"310","0"
"311","1"
"312","1"
"313","1"
"314","0"
"315","1"
"316","0"
"317","1"
"318","1"
"319","0"
"320","0"
"321","1"
"322","0"
"323","1"
"324","1"
"325","0"
"326","0"
"327","1"
"328","1"
"329","1"
"330","0"
"331","1"
"332","1"
"333","1"
"334","1"
"335","1"
"336","1"
"337","1"
"338","0"
"339","1"
"340","0"
"341","1"
"342","1"
"343","1"
"344","0"
"345","1"
"346","1"
"347","1"
"348","1"
"349","1"
"350","1"
"351","0"
"352","1"
"353","0"
"354","1"
"355","0"
"356","0"
"357","1"
"358","0"
"359","0"
"360","0"
"361","1"
"362","0"
"363","1"
"364","1"
"365","1"
"366","0"
"367","1"
"368","1"
"369","0"
"370","0"
"371","1"
"372","1"
"373","1"
"374","0"
"375","0"
"376","0"
"377","0"
"378","1"
"379","1"
"380","1"
"381","1"
"382","1"
"383","1"
"384","0"
"385","1"
"386","1"
"387","0"
"388","1"
"389","0"
"390","0"
"391","1"
"392","0"
"393","1"
"394","0"
"395","1"
"396","0"
"397","1"
"398","1"
"399","1"
"400","1"
"401","0"
"402","1"
"403","1"
"404","1"
"405","1"
"406","1"
"407","1"
"408","1"
"409","1"
"410","1"
"411","1"
"412","0"
"413","1"
"414","1"
"415","1"
"416","1"
"417","0"
"418","0"
"419","1"
"420","0"
"421","1"
"422","1"
"423","1"
"424","0"
"425","1"
"426","1"
"427","1"
"428","0"
"429","1"
"430","0"
"431","1"
"432","1"
"433","0"
"434","0"
"435","1"
"436","1"
"437","0"
"438","1"
"439","0"
"440","0"
"441","0"
"442","1"
"443","1"
"444","1"
"445","0"
"446","1"
"447","1"
"448","1"
"449","0"
"450","1"
"451","1"
"452","1"
"453","1"
"454","0"
"455","0"
"456","1"
"457","1"
"458","1"
"459","1"
"460","1"
"461","1"
"462","0"
"463","0"
"464","1"
"465","0"
"466","1"
"467","1"
"468","1"
"469","1"
"470","0"
"471","1"
"472","1"
"473","0"
"474","1"
"475","1"
"476","1"
"477","1"
"478","0"
"479","0"
"480","0"
"481","0"
"482","0"
"483","0"
"484","0"
"485","1"
"486","1"
"487","1"
"488","0"
"489","1"
"490","0"
"491","0"
"492","1"
"493","0"
"494","1"
"495","1"
"496","1"
"497","1"
"498","1"
"499","0"
"500","1"
"501","1"
"502","1"
"503","0"
"504","0"
"505","1"
"506","0"
"507","1"
"508","1"
"509","1"
"510","1"
"511","1"
"512","1"
"513","1"
"514","0"
"515","1"
"516","1"
"517","1"
"518","1"
"519","1"
"520","0"
"521","1"
"522","1"
"523","1"
"524","1"
"525","1"
"526","0"
"527","1"
"528","0"
"529","1"
"530","1"
"531","1"
"532","1"
"533","1"
"534","1"
"535","0"
"536","1"
"537","1"
"538","1"
"539","0"
"540","1"
"541","1"
"542","1"
"543","1"
"544","0"
"545","1"
"546","0"
"547","0"
"548","0"
"549","0"
"550","1"
"551","1"
"552","1"
"553","1"
"554","1"
"555","1"
"556","1"
"557","1"
"558","1"
"559","1"
"560","1"
"561","1"
"562","1"
