applicant_id,prediction
"1","1"
"2","1"
"3","1"
"4","0"
"5","1"
"6","1"
"7","0"
"8","0"
"9","1"
"10","1"
"11","1"
"12","0"
"13","1"
"14","0"
"15","1"
"16","1"
"17","0"
"18","1"
"19","0"
"20","1"
"21","0"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","0"
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34","1"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","1"
"41","1"
"42","1"
"43","1"
"44","0"
"45","1"
"46","1"
"47","1"
"48","0"
"49","1"
"50","1"
"51","0"
"52","1"
"53","1"
"54","1"
"55","0"
"56","1"
"57","0"
"58","0"
"59","1"
"60","1"
"61","0"
"62","1"
"63","0"
"64","1"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","1"
"71","1"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","0"
"79","0"
"80","1"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","1"
"88","0"
"89","0"
"90","1"
"91","1"
"92","0"
"93","0"
"94","1"
"95","0"
"96","0"
"97","1"
"98","0"
"99","0"
"100","0"
"101","0"
"102","1"
"103","1"
"104","1"
"105","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","0"
"111","0"
"112","1"
"113","1"
"114","0"
"115","0"
"116","1"
"117","1"
"118","0"
"119","1"
"120","0"
"121","0"
"122","1"
"123","1"
"124","1"
"125","0"
"126","0"
"127","1"
"128","1"
"129","0"
"130","1"
"131","1"
"132","0"
"133","1"
"134","1"
"135","0"
"136","1"
"137","0"
"138","0"
"139","1"
"140","1"
"141","1"
"142","0"
"143","0"
"144","1"
"145","0"
"146","0"
"147","1"
"148","0"
"149","1"
"150","0"
"151","1"
"152","0"
"153","1"
"154","0"
"155","0"
"156","0"
"157","1"
"158","1"
"159","0"
"160","0"
"161","0"
"162","0"
"163","0"
"164","0"
"165","0"
"166","1"
"167","1"
"168","0"
"169","0"
"170","1"
"171","0"
"172","0"
"173","1"
"174","0"
"175","1"
"176","1"
"177","0"
"178","0"
"179","0"
"180","0"
"181","1"
"182","0"
"183","1"
"184","0"
"185","1"
"186","0"
"187","1"
"188","1"
"189","0"
"190","0"
"191","0"
"192","1"
"193","0"
"194","0"
"195","0"
"196","0"
"197","0"
"198","0"
"199","0"
"200","1"
"201","0"
"202","0"
"203","0"
"204","0"
"205","0"
"206","0"
"207","0"
"208","0"
"209","1"
"210","0"
"211","1"
"212","1"
"213","1"
"214","1"
"215","1"
"216","0"
"217","0"
"218","1"
"219","1"
"220","1"
"221","0"
"222","0"
"223","1"
"224","1"
"225","1"
"226","0"
"227","0"
"228","0"
"229","1"
"230","1"
"231","0"
"232","1"
"233","0"
"234","1"
"235","0"
"236","1"
"237","0"
"238","0"
"239","1"
"240","0"
"241","0"
"242","1"
"243","0"
"244","1"
"245","1"
"246","1"
"247","0"
"248","0"
"249","0"
"250","0"
"251","1"
"252","0"
"253","1"
"254","0"
"255","0"
"256","1"
"257","0"
"258","1"
"259","0"
"260","0"
"261","0"
"262","1"
"263","0"
"264","0"
"265","0"
"266","0"
"267","0"
"268","1"
"269","0"
"270","0"
"271","1"
"272","0"
"273","0"
"274","1"
"275","0"
"276","1"
"277","0"
"278","0"
"279","1"
"280","0"
"281","1"
"282","1"
"283","1"
"284","1"
"285","0"
"286","1"
"287","0"
"288","1"
"289","1"
"290","1"
"291","0"
"292","1"
"293","1"
"294","0"
"295","0"
"296","1"
"297","0"
"298","0"
"299","0"
"300","1"
"301","1"
"302","1"
"303","1"
"304","1"
"305","1"
"306","0"
"307","0"
"308","0"
"309","1"
"310","1"
"311","1"
"312","1"
"313","0"
"314","0"
"315","0"
"316","0"
"317","0"
"318","0"
"319","1"
"320","0"
"321","1"
"322","0"
"323","0"
"324","0"
"325","0"
"326","0"
"327","0"
"328","0"
"329","1"
"330","0"
"331","0"
"332","1"
"333","0"
"334","0"
"335","0"
"336","1"
"337","0"
"338","0"
"339","1"
"340","0"
"341","0"
"342","0"
"343","0"
"344","0"
"345","0"
"346","0"
"347","1"
"348","0"
"349","1"
"350","1"
"351","0"
"352","1"
"353","1"
"354","1"
"355","0"
"356","0"
"357","1"
"358","1"
"359","0"
"360","0"
"361","1"
"362","0"
"363","1"
"364","1"
"365","1"
"366","0"
"367","0"
"368","0"
"369","0"
"370","1"
"371","0"
"372","1"
"373","1"
"374","0"
"375","0"
"376","1"
"377","1"
"378","0"
"379","0"
"380","1"
"381","1"
"382","0"
"383","1"
"384","0"
"385","1"
"386","0"
"387","1"
"388","1"
"389","1"
"390","1"
"391","1"
"392","1"
"393","1"
"394","1"
"395","0"
"396","1"
"397","1"
"398","0"
"399","0"
"400","1"
