applicant_id,prediction
"1","1"
"2","1"
"3","1"
"4","0"
"5","1"
"6","1"
"7","0"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","0"
"15","1"
"16","1"
"17","0"
"18","0"
"19","1"
"20","1"
"21","0"
"22","1"
"23","1"
"24","0"
"25","0"
"26","1"
"27","1"
"28","1"
"29","1"
"30","0"
"31","1"
"32","1"
"33","1"
"34","0"
"35","0"
"36","0"
"37","1"
"38","1"
"39","1"
"40","1"
"41","0"
"42","0"
"43","0"
"44","1"
"45","1"
"46","1"
"47","0"
"48","0"
"49","0"
"50","0"
"51","1"
"52","1"
"53","1"
"54","1"
"55","0"
"56","1"
"57","0"
"58","1"
"59","1"
"60","1"
"61","0"
"62","1"
"63","1"
"64","1"
"65","0"
"66","0"
"67","1"
"68","1"
"69","1"
"70","1"
"71","1"
"72","0"
"73","1"
"74","1"
"75","0"
"76","0"
"77","1"
"78","0"
"79","0"
"80","0"
"81","0"
"82","1"
"83","0"
"84","0"
"85","1"
"86","0"
"87","0"
"88","1"
"89","0"
"90","1"
"91","0"
"92","1"
"93","0"
"94","1"
"95","1"
"96","0"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","0"
"105","0"
"106","0"
"107","1"
"108","0"
"109","1"
"110","0"
"111","1"
"112","1"
"113","0"
"114","1"
"115","0"
"116","1"
"117","1"
"118","1"
"119","0"
"120","1"
"121","1"
"122","1"
"123","0"
"124","1"
"125","0"
"126","0"
"127","0"
"128","1"
"129","0"
"130","0"
"131","0"
"132","1"
"133","1"
"134","1"
"135","1"
"136","0"
"137","0"
"138","1"
"139","1"
"140","1"
"141","1"
"142","1"
"143","1"
"144","0"
"145","1"
"146","0"
"147","1"
"148","1"
"149","1"
"150","1"
"151","1"
"152","1"
"153","0"
"154","1"
"155","1"
"156","0"
"157","0"
"158","1"
"159","0"
"160","1"
"161","0"
"162","1"
"163","1"
"164","0"
"165","1"
"166","1"
"167","0"
"168","0"
"169","1"
"170","1"
"171","0"
"172","0"
"173","0"
"174","0"
"175","0"
"176","0"
"177","1"
"178","1"
"179","0"
"180","1"
"181","1"
"182","1"
"183","1"
"184","1"
"185","1"
"186","0"
"187","0"
"188","1"
"189","1"
"190","0"
"191","0"
"192","1"
"193","1"
"194","0"
"195","0"
"196","1"
"197","0"
"198","1"
"199","1"
"200","1"
"201","0"
"202","1"
"203","0"
"204","0"
"205","1"
"206","1"
"207","0"
"208","1"
"209","1"
"210","0"
"211","1"
"212","1"
"213","0"
"214","1"
"215","0"
"216","1"
"217","1"
"218","1"
"219","1"
"220","0"
"221","0"
"222","0"
"223","1"
"224","0"
"225","0"
"226","1"
"227","1"
"228","1"
"229","0"
"230","1"
"231","1"
"232","1"
"233","1"
"234","1"
"235","0"
"236","1"
"237","1"
"238","1"
"239","1"
"240","0"
"241","0"
"242","0"
"243","1"
"244","0"
"245","1"
"246","1"
"247","1"
"248","0"
"249","1"
"250","1"
"251","0"
"252","1"
"253","1"
"254","1"
"255","0"
"256","1"
"257","1"
"258","0"
"259","1"
"260","1"
"261","1"
"262","0"
"263","1"
"264","1"
"265","0"
"266","1"
"267","1"
"268","1"
"269","1"
"270","1"
"271","0"
"272","0"
"273","0"
"274","0"
"275","1"
"276","1"
"277","1"
"278","1"
"279","1"
"280","1"
"281","0"
"282","0"
"283","1"
"284","1"
"285","1"
"286","1"
"287","1"
"288","1"
"289","1"
"290","1"
"291","1"
"292","1"
"293","0"
"294","1"
"295","0"
"296","0"
"297","0"
"298","1"
"299","1"
"300","1"
"301","1"
"302","1"
"303","1"
"304","0"
"305","1"
"306","0"
"307","1"
"308","1"
"309","1"
"310","0"
"311","1"
"312","0"
"313","1"
"314","1"
"315","1"
"316","1"
"317","0"
"318","1"
"319","1"
"320","1"
"321","1"
"322","0"
"323","0"
"324","0"
"325","1"
"326","1"
"327","1"
"328","0"
"329","1"
"330","0"
"331","1"
"332","1"
"333","0"
"334","1"
"335","0"
"336","0"
"337","1"
"338","1"
"339","1"
"340","0"
"341","1"
"342","1"
"343","1"
"344","0"
"345","1"
"346","1"
"347","0"
"348","1"
"349","1"
"350","0"
"351","1"
"352","0"
"353","1"
"354","1"
"355","0"
"356","1"
"357","0"
"358","0"
"359","0"
"360","1"
"361","1"
"362","1"
"363","1"
"364","1"
"365","0"
"366","1"
"367","0"
"368","1"
"369","0"
"370","1"
"371","0"
"372","1"
"373","1"
"374","1"
"375","0"
"376","0"
"377","1"
"378","1"
"379","1"
"380","0"
"381","1"
"382","0"
"383","1"
"384","1"
"385","1"
"386","1"
"387","1"
"388","0"
"389","1"
"390","1"
"391","0"
"392","1"
"393","1"
"394","1"
"395","1"
"396","0"
"397","0"
"398","0"
"399","1"
"400","1"
